id,title,tags
298.0,Ocean's Thirteen,Ocean'sCollection Crime Thriller Danny Ocean's team of criminals are back and composing a plan more personal than ever When ruthless casino owner Willy Bank doublecrosses Reuben Tishkoff causing a heart attack Danny Ocean vows that he and his team will do anything to bring down Willy Bank along with everything he's got Even if it means asking for help from an enemy GeorgeClooney BradPitt MattDamon StevenSoderbergh
306.0,Beverly Hills Cop III,BeverlyHillsCopCollection Action Comedy Crime Back in sunny southern California and on the trail of two murderers Axel Foley again teams up with LA cop Billy Rosewood Soon they discover that an amusement park is being used as a front for a massive counterfeiting ring – and it's run by the same gang that shot Billy's boss EddieMurphy JudgeReinhold HéctorElizondo JohnLandis
310.0,Bruce Almighty,"AlmightyCollection Fantasy Comedy Bruce Nolan toils as a ""human interest"" television reporter in Buffalo NY Despite his high ratings and the love of his beautiful girlfriend Grace Bruce remains unfulfilled At the end of the worst day in his life he angrily ridicules God -- and the Almighty responds endowing Bruce with all of His divine powers JimCarrey JenniferAniston PhilipBakerHall TomShadyac"
329.0,Jurassic Park,JurassicParkCollection Adventure ScienceFiction A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA Before opening day he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors However the park is anything but amusing as the security systems go off-line and the dinosaurs escape SamNeill LauraDern JeffGoldblum StevenSpielberg
332.0,Inspector Gadget,"InspectorGadgetCollection Action Adventure Comedy Family John Brown is a bumbling but well-intentioned security guard who is badly injured in an explosion planned by an evil mastermind He is taken to a laboratory where Brenda a leading robotics surgeon replaces his damaged limbs with state-of-the-art gadgets and tools Named ""Inspector Gadget"" by the press John -- along with his niece Penny and her trusty dog Brain -- uses his new powers to discover who was behind the explosion MatthewBroderick RupertEverett JoelyFisher DavidKellogg"
344.0,"Bang, Boom, Bang",UnnaTrilogie Crime Action Comedy Bank robber Kelle Grabowski escapes from prison while his unemployed smalltime crook buddy is sitting around doing nothing after he just lost all their money A fast paced comedy from German director Peter Thorwarth OliverKorittke MarkusKnüfken RalfRichter PeterThorwarth
348.0,Alien,AlienCollection Horror Action Thriller ScienceFiction During its return to the earth commercial spaceship Nostromo intercepts a distress signal from a distant planet When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet a creature inside one of the eggs attacks an explorer The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed TomSkerritt SigourneyWeaver VeronicaCartwright RidleyScott
364.0,Batman Returns,BatmanCollection Action Fantasy Having defeated the Joker Batman now faces the Penguin - a warped and deformed individual who is intent on being accepted into Gotham society Crooked businessman Max Schreck is coerced into helping him become Mayor of Gotham and they both attempt to expose Batman in a different light Selina Kyle Max's secretary is thrown from the top of a building and is transformed into Catwoman - a mysterious figure who has the same personality disorder as Batman Batman must attempt to clear his name all the time deciding just what must be done with the Catwoman MichaelKeaton DannyDeVito MichellePfeiffer TimBurton
377.0,A Nightmare on Elm Street,ANightmareonElmStreetCollection Horror Teenagers in a small town are dropping like flies apparently in the grip of mass hysteria causing their suicides A cop's daughter Nancy Thompson (Heather Langenkamp) traces the cause to child molester Fred Krueger (Robert Englund) who was burned alive by angry parents many years before Krueger has now come back in the dreams of his killers' children claiming their lives as his revenge Nancy and her boyfriend Glen (Johnny Depp) must devise a plan to lure the monster out of the realm of nightmares and into the real world JohnSaxon RoneeBlakley HeatherLangenkamp WesCraven
391.0,A Fistful of Dollars,TheManWithNoNameCollection Western The Man With No Name enters the Mexican village of San Miguel in the midst of a power struggle among the three Rojo brothers and sheriff John Baxter When a regiment of Mexican soldiers bearing gold intended to pay for new weapons is waylaid by the Rojo brothers the stranger inserts himself into the middle of the long-simmering battle selling false information to both sides for his own benefit ClintEastwood MarianneKoch GianMariaVolonté SergioLeone
